stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
026610,99999,2010,04,11,41.7,24,35.8,24,1032.2,24,1003.5,24,19.7,24,4.3,24,5.8,999.9,51.1,34.7,0.04,0.0,0,1,0,0,0,0
236780,99999,2010,08,08,51.1,8,47.3,8,996.9,8,991.6,7,8.7,6,5.6,8,7.8,999.9,53.2,47.5,0.59,0.0,0,1,0,0,0,0
485800,99999,2010,09,03,81.9,8,75.7,8,1008.6,8,1007.9,8,5.7,8,1.1,8,5.1,999.9,89.6,77.7,0.19,0.0,0,0,0,0,0,0
670230,99999,2010,10,28,78.4,5,71.5,5,1013.9,5,1013.3,5,21.7,5,8.4,5,12.0,999.9,85.3,68.4,0.0,0.0,0,0,0,0,0,0
710950,99999,2010,02,26,-24.7,24,-31.8,24,1022.0,23,1014.6,7,9.4,24,4.1,24,8.9,28.0,-14.8,-31.0,0.0,0.0,0,0,0,0,0,0
688420,99999,2010,12,25,69.3,22,61.2,22,1018.7,4,1011.7,4,7.7,22,10.0,22,15.9,999.9,75.2,65.1,0.33,0.0,0,1,0,0,0,0
100550,99999,2010,10,11,49.6,16,45.5,16,1020.1,16,1019.1,16,13.2,16,5.3,16,7.8,999.9,55.0,43.7,0.0,0.0,1,0,0,0,0,0
085610,99999,2010,12,08,59.2,8,56.7,8,1007.9,8,985.0,8,8.4,8,8.0,8,11.7,27.2,64.4,55.0,0.14,0.0,0,1,0,0,0,0
484360,99999,2010,05,19,85.4,8,77.0,8,1008.0,8,987.6,8,6.8,8,0.4,8,2.9,999.9,95.9,72.0,0.03,0.0,0,0,0,0,0,0
413140,99999,2010,04,18,88.6,8,44.6,8,1010.1,8,960.2,8,6.2,8,10.1,8,15.9,999.9,100.9,75.6,0.0,0.0,0,0,0,0,0,0
724096,14706,2010,03,17,47.5,24,28.4,24,1015.6,24,1010.4,24,10.0,24,3.1,24,8.9,999.9,65.7,30.2,0.0,0.0,0,0,0,0,0,0
311740,99999,2010,12,25,27.5,6,24.4,6,1003.9,6,1002.7,6,0.5,6,22.0,6,23.3,35.0,28.4,21.9,0.0,21.3,0,0,1,0,0,0
296980,99999,2010,12,19,-7.0,8,-10.5,8,1019.8,8,964.6,8,4.7,8,1.5,8,3.9,999.9,7.7,-25.2,0.05,13.4,0,0,1,0,0,0
471400,99999,2010,02,11,34.7,8,33.9,8,1019.5,8,1016.1,8,9.0,8,4.3,8,7.0,999.9,42.3,32.9,0.71,0.0,0,1,1,0,0,0
293130,99999,2010,04,05,23.2,8,7.0,8,1023.7,8,1011.2,8,11.0,8,6.6,8,9.7,999.9,29.7,10.4,0.09,17.7,0,0,1,0,0,0
724388,14829,2010,05,19,58.5,22,47.7,22,1015.7,18,985.6,22,8.9,21,4.9,21,12.0,19.0,73.0,42.1,0.02,0.0,1,0,0,0,0,0
061200,99999,2010,07,26,61.7,24,54.4,24,1012.0,13,1009.5,13,6.8,24,4.1,24,8.0,999.9,74.1,47.3,0.0,0.0,0,0,0,0,0,0
725116,54737,2010,10,22,47.1,24,33.0,24,1015.6,24,1000.9,24,10.0,24,7.6,24,18.1,26.0,55.0,41.0,0.0,0.0,0,1,0,0,0,0
589210,99999,2010,03,05,75.8,8,61.9,8,1009.3,8,985.3,4,10.8,8,7.3,8,13.6,999.9,82.2,62.1,0.0,0.0,0,0,0,0,0,0
722024,12882,2010,02,09,67.2,24,58.5,24,1014.5,24,1014.1,24,10.0,24,8.4,24,19.0,22.0,79.0,55.9,0.0,0.0,0,0,0,0,0,0
442300,99999,2010,03,31,17.3,8,-7.3,8,1034.0,8,881.6,8,12.4,5,7.0,8,15.5,999.9,25.2,7.3,0.0,0.0,0,0,0,0,0,0
134630,99999,2010,03,13,46.4,24,32.0,23,1017.1,24,1011.1,24,12.2,24,2.8,24,7.8,999.9,56.7,35.4,0.0,0.0,0,0,0,0,0,0
025740,99999,2010,12,28,17.8,24,16.7,24,1028.3,24,1023.9,24,13.1,22,2.4,24,3.9,999.9,19.6,15.3,0.0,0.0,1,0,1,0,0,0
726223,94725,2010,02,02,17.5,24,6.9,24,1023.5,20,1015.1,24,9.9,24,4.8,24,8.0,999.9,23.0,12.0,0.0,0.0,0,0,0,0,0,0
722869,03171,2010,06,21,67.5,24,53.4,24,1012.8,23,984.2,24,9.8,24,3.8,24,12.0,21.0,79.0,57.2,0.0,0.0,0,0,0,0,0,0
470900,99999,2010,04,04,50.8,8,24.9,8,1017.2,8,1014.4,8,9.6,8,5.5,8,9.9,999.9,57.4,36.9,0.0,0.0,0,0,0,0,0,0
510870,99999,2010,05,31,75.4,8,41.9,8,1009.6,8,920.2,4,18.6,8,4.1,8,5.8,999.9,85.6,56.1,0.0,0.0,0,0,0,0,0,0
173700,99999,2010,12,04,68.5,24,47.2,24,1018.4,24,1018.0,24,9.3,24,1.6,24,2.9,999.9,78.8,60.4,0.0,0.0,0,0,0,0,0,0
132660,99999,2010,04,26,61.9,8,49.3,8,1023.0,8,1013.1,8,10.1,8,7.3,8,9.7,999.9,73.4,50.0,0.0,0.0,0,0,0,0,0,0
125750,99999,2010,02,03,26.9,8,20.8,8,1011.5,8,985.1,8,7.5,8,7.3,8,11.7,999.9,31.5,19.6,0.0,8.3,0,0,1,0,0,0
722821,53988,2010,09,26,77.0,24,68.4,24,1013.3,20,1000.0,24,9.3,24,2.2,24,6.0,999.9,89.1,70.0,0.22,0.0,0,0,0,0,0,0
067600,99999,2010,01,25,32.8,23,27.7,23,1028.6,23,982.2,23,2.0,4,1.7,23,4.1,9.9,34.0,31.1,0.0,0.0,0,0,0,0,0,0
700637,27406,2010,07,02,43.7,24,40.7,24,1009.8,16,1007.7,24,3.6,24,11.1,24,18.1,999.9,53.1,37.9,0.0,0.0,1,0,0,0,0,0
711040,99999,2010,02,01,31.2,24,30.3,24,1014.2,24,902.8,4,2.7,24,0.7,24,5.1,999.9,32.9,25.3,0.0,3.9,1,0,1,0,0,0
727854,94119,2010,07,20,65.5,24,45.3,24,1015.6,24,938.1,24,10.0,24,4.1,24,9.9,999.9,82.0,44.1,0.0,0.0,0,0,0,0,0,0
